algorithm	n	case	steps
insertion	10	average	51
insertion	10	worst	153
merge	10	average	159
merge	10	worst	136
heap	10	average	246
heap	10	worst	178
quick	10	average	72
quick	10	worst	102
insertion	25	average	516
insertion	25	worst	948
merge	25	average	526
merge	25	worst	457
heap	25	average	788
heap	25	worst	669
quick	25	average	199
quick	25	worst	541
insertion	75	average	4546
insertion	75	worst	8473
merge	75	average	2141
merge	75	worst	1785
heap	75	average	3417
heap	75	worst	2958
quick	75	average	750
quick	75	worst	4441
insertion	100	average	7770
insertion	100	worst	15048
merge	100	average	3014
merge	100	worst	2531
heap	100	average	4914
heap	100	worst	4324
quick	100	average	1067
quick	100	worst	7797
insertion	250	average	45303
insertion	250	worst	93873
merge	250	average	9006
merge	250	worst	7464
heap	250	average	14980
heap	250	worst	13378
quick	250	average	3564
quick	250	worst	47622
insertion	500	average	187550
insertion	500	worst	375248
merge	500	average	20246
merge	500	worst	16679
heap	500	average	34284
heap	500	worst	30967
quick	500	average	8236
quick	500	worst	188997
insertion	750	average	417781
insertion	750	worst	844123
merge	750	average	32587
merge	750	worst	26634
heap	750	average	55342
heap	750	worst	50401
quick	750	average	14116
quick	750	worst	424122
insertion	1000	average	731565
insertion	1000	worst	1500495
merge	1000	average	45004
merge	1000	worst	36860
heap	1000	average	76973
heap	1000	worst	69964
quick	1000	average	19199
quick	1000	worst	750676
